"ID","Sexe","Age","Commune","Connaissance_Produits","Disponibilite_Produits","Frequence_Achat","Depense_Moyenne_Mois","Qualite_Service","Satisfaction_Globale","Interet_Nouveau_Service","Caracteristiques_Recherchees","Support_Info","Importance_Disponibilite","Importance_Qualite","Importance_Prix","Importance_Image","Willingness_to_Pay","Commentaires"
1,"Femme",21,"Gueule Tapée-Fass-Colobane","Non",5,"Jamais",11760,2,1,"Non","Livraison rapide","Affichage campus",4,4,2,2,2441,"Améliorer la qualité du service."
2,"Homme",23,"Fann-Point E-Amitié","Non",4,"Jamais",6740,2,2,"Oui","Prix bas","Affichage campus",1,3,4,4,5053,"Ajouter plus de fonctionnalités."
3,"Femme",21,"Hann Bel-Air","Oui",3,"Souvent",11235,2,1,"Oui","Livraison rapide","Email",3,1,5,3,11996,"Bonne initiative pour les étudiants."
4,"Homme",24,"Gueule Tapée-Fass-Colobane","Non",4,"Parfois",16420,3,3,"Non","Sécurité","Affichage campus",1,1,4,1,9352,"Rendre les prix plus abordables."
5,"Homme",23,"Hann Bel-Air","Oui",3,"Souvent",17115,3,3,"Oui","Sécurité","Email",1,4,2,5,16105,"Améliorer la qualité du service."
6,"Femme",20,"Ouakam","Oui",1,"Très souvent",23153,4,5,"Oui","Offre personnalisée","Affichage campus",5,1,4,1,18050,"Rendre les prix plus abordables."
7,"Homme",26,"Parcelles Assainies","Oui",4,"Très souvent",23539,4,4,"Non","Livraison rapide","Affichage campus",5,5,5,4,11872,"Offrir un essai gratuit."
8,"Homme",22,"Dakar-Plateau","Oui",4,"Parfois",14749,4,5,"Non","Sécurité","Affichage campus",2,3,1,3,11489,"Bonne initiative pour les étudiants."
9,"Homme",19,"Ouakam","Non",4,"Jamais",12773,2,3,"Oui","Sécurité","Affichage campus",1,1,2,4,11616,"Bonne initiative pour les étudiants."
10,"Femme",20,"Gueule Tapée-Fass-Colobane","Non",4,"Parfois",10314,3,3,"Oui","Sécurité","Email",5,1,2,4,9589,"Ajouter plus de fonctionnalités."
11,"Homme",22,"Ngor","Oui",3,"Très souvent",19840,5,5,"Oui","Livraison rapide","SMS",1,3,4,2,14971,"Améliorer la qualité du service."
12,"Femme",23,"Fann-Point E-Amitié","Oui",2,"Parfois",6753,4,4,"Oui","Sécurité","Affichage campus",5,3,1,4,10656,"Ajouter plus de fonctionnalités."
13,"Homme",28,"Dakar-Plateau","Oui",2,"Parfois",17991,3,2,"Oui","Livraison rapide","Bouche-à-oreille",1,2,3,3,11481,"Ajouter plus de fonctionnalités."
14,"Homme",23,"Yoff","Oui",3,"Souvent",15378,3,3,"Oui","Sécurité","Réseaux sociaux",5,3,1,3,14670,"Offrir un essai gratuit."
15,"Femme",22,"Dakar-Plateau","Non",3,"Rarement",10818,4,3,"Non","Sécurité","Email",3,3,3,5,7119,"Offrir un essai gratuit."
16,"Homme",25,"Parcelles Assainies","Oui",5,"Souvent",8976,3,4,"Non","Sécurité","Email",1,2,3,3,5716,"Bonne initiative pour les étudiants."
17,"Femme",24,"Gueule Tapée-Fass-Colobane","Oui",1,"Souvent",16177,3,2,"Oui","Livraison rapide","Affichage campus",5,3,2,1,11101,"Bonne initiative pour les étudiants."
18,"Femme",19,"Fann-Point E-Amitié","Oui",1,"Souvent",10404,4,5,"Non","Livraison rapide","Email",3,3,1,1,6637,"Ajouter plus de fonctionnalités."
19,"Femme",20,"Hann Bel-Air","Oui",4,"Souvent",16939,3,1,"Non","Livraison rapide","Affichage campus",3,5,4,4,8944,"Bonne initiative pour les étudiants."
20,"Homme",20,"Gueule Tapée-Fass-Colobane","Oui",3,"Parfois",13420,3,2,"Oui","Livraison rapide","Affichage campus",5,2,3,5,9176,"Ajouter plus de fonctionnalités."
21,"Homme",23,"Ouakam","Oui",2,"Très souvent",17185,4,4,"Non","Sécurité","Affichage campus",1,5,2,2,12032,"Bonne initiative pour les étudiants."
22,"Homme",23,"Parcelles Assainies","Non",4,"Parfois",9536,3,2,"Oui","Interface simple","Affichage campus",3,1,5,5,12479,"Bonne initiative pour les étudiants."
23,"Homme",23,"Dakar-Plateau","Non",5,"Jamais",16961,2,3,"Oui","Livraison rapide","Bouche-à-oreille",1,3,3,1,15350,"Améliorer la qualité du service."
24,"Homme",24,"Fann-Point E-Amitié","Oui",2,"Très souvent",12910,4,4,"Oui","Offre personnalisée","Bouche-à-oreille",2,5,1,1,14231,"Ajouter plus de fonctionnalités."
25,"Homme",26,"Mermoz-Sacré-Cœur","Non",2,"Parfois",12446,3,3,"Oui","Livraison rapide","Bouche-à-oreille",5,2,2,5,10445,"Améliorer la qualité du service."
26,"Homme",27,"Yoff","Oui",3,"Souvent",14330,4,5,"Oui","Sécurité","SMS",4,3,2,1,14092,"Rendre les prix plus abordables."
27,"Homme",29,"Ouakam","Non",2,"Rarement",11743,4,4,"Non","Livraison rapide","Email",3,1,3,5,11876,"Améliorer la qualité du service."
28,"Homme",24,"Hann Bel-Air","Oui",3,"Parfois",13878,3,4,"Oui","Sécurité","Email",3,1,4,4,15237,"Offrir un essai gratuit."
29,"Femme",21,"Mermoz-Sacré-Cœur","Oui",4,"Souvent",16226,5,5,"Oui","Livraison rapide","Bouche-à-oreille",3,5,3,2,15803,"Offrir un essai gratuit."
30,"Femme",24,"Parcelles Assainies","Oui",4,"Parfois",16117,2,3,"Oui","Sécurité","Bouche-à-oreille",4,2,4,4,14468,"Bonne initiative pour les étudiants."
31,"Homme",19,"Dakar-Plateau","Non",1,"Parfois",11589,2,1,"Non","Interface simple","Bouche-à-oreille",4,2,2,1,3954,"Ajouter plus de fonctionnalités."
32,"Homme",27,"Ouakam","Oui",4,"Très souvent",22168,3,2,"Oui","Interface simple","Affichage campus",2,2,2,2,14261,"Rendre les prix plus abordables."
33,"Homme",22,"Yoff","Non",5,"Jamais",12750,2,1,"Non","Prix bas","SMS",1,5,5,3,5258,"Rendre les prix plus abordables."
34,"Homme",20,"Ngor","Oui",4,"Souvent",22903,4,4,"Oui","Livraison rapide","Réseaux sociaux",4,5,3,5,19040,"Bonne initiative pour les étudiants."
